Input = 76, output = -2011
Input = 14, output = -399
Input = 41, output = -1101
Input = 4, output = -139
Input = 3, output = -113
Input = 96, output = -2531
Input = 84, output = -2219
Input = 70, output = -1855
Input = 2, output = -87
Input = 49, output = -1309
Input = 88, output = -2323
Input = 28, output = -763
Input = 55, output = -1465
Input = 94, output = -2479
Input = 68, output = -1803
Input = 29, output = -789
Input = 57, output = -1517
Input = 64, output = -1699
Input = 71, output = -1881
Input = 30, output = -815
Input = 45, output = -1205
Input = 80, output = -2115
Input = 93, output = -2453
Input = 59, output = -1569
Input = 38, output = -1023
Input = 95, output = -2505
Input = 54, output = -1439
Input = 72, output = -1907
Input = 13, output = -373
Input = 24, output = -659
Input = 75, output = -1985
Input = 16, output = -451
Input = 43, output = -1153
Input = 65, output = -1725
Input = 87, output = -2297
Input = 25, output = -685
Input = 20, output = -555
Input = 19, output = -529
Input = 69, output = -1829
Input = 83, output = -2193
Input = 32, output = -867
Input = 66, output = -1751
Input = 33, output = -893
Input = 26, output = -711
Input = 61, output = -1621
Input = 74, output = -1959
Input = 31, output = -841
Input = 85, output = -2245
Input = 48, output = -1283
Input = 56, output = -1491
