Input = 76, output = 1383
Input = 14, output = 267
Input = 41, output = 753
Input = 4, output = 87
Input = 3, output = 69
Input = 96, output = 1743
Input = 84, output = 1527
Input = 70, output = 1275
Input = 2, output = 51
Input = 49, output = 897
Input = 88, output = 1599
Input = 28, output = 519
Input = 55, output = 1005
Input = 94, output = 1707
Input = 68, output = 1239
Input = 29, output = 537
Input = 57, output = 1041
Input = 64, output = 1167
Input = 71, output = 1293
Input = 30, output = 555
Input = 45, output = 825
Input = 80, output = 1455
Input = 93, output = 1689
Input = 59, output = 1077
Input = 38, output = 699
Input = 95, output = 1725
Input = 54, output = 987
Input = 72, output = 1311
Input = 13, output = 249
Input = 24, output = 447
Input = 75, output = 1365
Input = 16, output = 303
Input = 43, output = 789
Input = 65, output = 1185
Input = 87, output = 1581
Input = 25, output = 465
Input = 20, output = 375
Input = 19, output = 357
Input = 69, output = 1257
Input = 83, output = 1509
Input = 32, output = 591
Input = 66, output = 1203
Input = 33, output = 609
Input = 26, output = 483
Input = 61, output = 1113
Input = 74, output = 1347
Input = 31, output = 573
Input = 85, output = 1545
Input = 48, output = 879
Input = 56, output = 1023
