Input = 76, output = -2041
Input = 14, output = -358
Input = 41, output = -1185
Input = 4, output = -74
Input = 3, output = -95
Input = 96, output = -2575
Input = 84, output = -2223
Input = 70, output = -1819
Input = 2, output = -65
Input = 49, output = -1271
Input = 88, output = -2257
Input = 28, output = -833
Input = 55, output = -1485
Input = 94, output = -2554
Input = 68, output = -1791
Input = 29, output = -748
Input = 57, output = -1528
Input = 64, output = -1646
Input = 71, output = -1895
Input = 30, output = -767
Input = 45, output = -1131
Input = 80, output = -2126
Input = 93, output = -2467
Input = 59, output = -1626
Input = 38, output = -1017
Input = 95, output = -2482
Input = 54, output = -1475
Input = 72, output = -1915
Input = 13, output = -370
Input = 24, output = -684
Input = 75, output = -1967
Input = 16, output = -446
Input = 43, output = -1231
Input = 65, output = -1726
Input = 87, output = -2273
Input = 25, output = -761
Input = 20, output = -586
Input = 19, output = -511
Input = 69, output = -1839
Input = 83, output = -2121
Input = 32, output = -872
Input = 66, output = -1746
Input = 33, output = -780
Input = 26, output = -639
Input = 61, output = -1591
Input = 74, output = -1988
Input = 31, output = -861
Input = 85, output = -2295
Input = 48, output = -1276
Input = 56, output = -1489
