Input = 76, output = 1253
Input = 14, output = 272
Input = 41, output = 807
Input = 4, output = 101
Input = 3, output = 87
Input = 96, output = 1745
Input = 84, output = 1501
Input = 70, output = 1255
Input = 2, output = 17
Input = 49, output = 817
Input = 88, output = 1667
Input = 28, output = 473
Input = 55, output = 1079
Input = 94, output = 1667
Input = 68, output = 1263
Input = 29, output = 495
Input = 57, output = 1041
Input = 64, output = 1202
Input = 71, output = 1270
Input = 30, output = 540
Input = 45, output = 861
Input = 80, output = 1367
Input = 93, output = 1684
Input = 59, output = 1108
Input = 38, output = 557
Input = 95, output = 1716
Input = 54, output = 970
Input = 72, output = 1336
Input = 13, output = 269
Input = 24, output = 441
Input = 75, output = 1377
Input = 16, output = 381
Input = 43, output = 731
Input = 65, output = 1203
Input = 87, output = 1549
Input = 25, output = 488
Input = 20, output = 424
Input = 19, output = 320
Input = 69, output = 1325
Input = 83, output = 1505
Input = 32, output = 582
Input = 66, output = 1191
Input = 33, output = 623
Input = 26, output = 489
Input = 61, output = 1053
Input = 74, output = 1359
Input = 31, output = 552
Input = 85, output = 1503
Input = 48, output = 842
Input = 56, output = 992
