Input = 60, output =  -1620
Input = 21, output =  -543
Input = 51, output =  -1317
Input = 89, output =  -2329
Input = 91, output =  -2357
Input = 10, output =  -307
Input = 67, output =  -1701
Input = 11, output =  -361
Input = 52, output =  -1414
Input = 82, output =  -2182
Input = 37, output =  -1029
Input = 97, output =  -2571
Input = 22, output =  -622
Input = 92, output =  -2402
Input = 36, output =  -936
Input = 86, output =  -2236
Input = 5, output =  -141
Input = 77, output =  -2023
Input = 6, output =  -171
Input = 17, output =  -465
