Input = 60, output =  1520
Input = 21, output =  607
Input = 51, output =  1321
Input = 89, output =  2271
Input = 91, output =  2351
Input = 10, output =  330
Input = 67, output =  1703
Input = 11, output =  397
Input = 52, output =  1327
Input = 82, output =  2062
Input = 37, output =  1025
Input = 97, output =  2393
Input = 22, output =  627
Input = 92, output =  2322
Input = 36, output =  971
Input = 86, output =  2159
Input = 5, output =  195
Input = 77, output =  1967
Input = 6, output =  211
Input = 17, output =  495
