,x,y,from
0,46,-9010,train
1,38,-5774,train
2,76,-26476,train
3,61,-16140,train
4,43,-7406,train
5,54,-13280,train
6,21,-1536,train
7,59,-14381,train
8,57,-14081,train
9,52,-11140,train
10,80,-29202,train
11,39,-6097,train
12,34,-4809,train
13,42,-6596,train
14,44,-8799,train
15,75,-25642,train
16,69,-20838,train
17,45,-8902,train
18,24,-1221,train
19,50,-10593,train
20,30,-3941,train
21,37,-5134,train
22,65,-19102,train
23,55,-12829,train
24,20,-2404,train
25,28,-4104,gpt
26,97,-35984,gpt
27,35,-5010,gpt
28,11,-1110,gpt
29,64,-18096,gpt
30,41,-7291,gpt
31,32,-5184,gpt
32,85,-33280,gpt
33,2,-4,gpt
34,60,-15120,gpt
35,63,-16092,gpt
36,98,-40984,gpt
37,91,-35894,gpt
38,13,-2048,gpt
39,40,-6120,gpt
40,58,-14098,gpt
41,62,-16092,gpt
42,70,-23152,gpt
43,67,-18093,gpt
44,4,-8,gpt
45,16,-3136,gpt
46,84,-33248,gpt
47,86,-35592,gpt
48,66,-19082,gpt
49,14,-3136,gpt
50,77,-27074,gpt
51,79,-29984,gpt
52,49,-10983,gpt
53,19,-1841,gpt
54,68,-20892,gpt
