,x,y,from
0,58,1150,train
1,32,1031,train
2,37,1236,train
3,64,1984,train
4,66,1742,train
5,45,1074,train
6,53,1272,train
7,39,1025,train
8,55,1526,train
9,31,714,train
10,47,1161,train
11,69,1828,train
12,62,1619,train
13,68,1864,train
14,42,906,train
15,77,2122,gpt
16,72,2028,gpt
17,75,2125,gpt
18,19,519,gpt
19,89,2189,gpt
20,80,2160,gpt
21,13,513,gpt
22,61,1561,gpt
23,5,5,gpt
24,78,2124,gpt
25,95,3142,gpt
26,36,816,gpt
27,96,2496,gpt
28,26,526,gpt
29,70,2070,gpt
30,74,2124,gpt
31,24,576,gpt
32,98,3108,gpt
33,16,496,gpt
34,56,1488,gpt
35,67,1767,gpt
36,59,1397,gpt
37,92,2244,gpt
38,12,612,gpt
39,86,2116,gpt
40,8,64,gpt
41,29,571,gpt
42,4,0,gpt
43,46,1138,gpt
44,18,618,gpt
