,x,y,from
0,52,-1938,train
1,28,-1702,train
2,25,-1625,train
3,34,-1843,train
4,31,-1772,train
5,55,-1829,train
6,36,-1857,train
7,39,-1878,train
8,24,-1564,train
9,62,-1649,train
10,69,-1287,train
11,61,-1588,train
12,33,-1845,train
13,67,-1352,train
14,48,-1998,train
15,46,-1917,train
16,42,-1934,train
17,29,-1725,train
18,44,-1904,train
19,43,-1877,train
20,75,-971,train
21,64,-1596,train
22,40,-1984,train
23,41,-1964,train
24,72,-1200,train
25,16,-1804,gpt
26,4,-2096,gpt
27,65,-1605,gpt
28,58,-1621,gpt
29,20,-1680,gpt
30,94,-879,gpt
31,22,-1604,gpt
32,5,-1625,gpt
33,50,-1850,gpt
34,6,-1606,gpt
35,7,-1021,gpt
36,18,-1404,gpt
37,97,-879,gpt
38,95,-879,gpt
39,84,-1056,gpt
40,88,-1056,gpt
41,10,-1810,gpt
42,99,-879,gpt
43,79,-1056,gpt
44,3,-2097,gpt
45,23,-1551,gpt
46,92,-829,gpt
47,37,-1877,gpt
48,45,-1909,gpt
49,91,-829,gpt
50,17,-1413,gpt
51,49,-1926,gpt
52,82,-1056,gpt
53,80,-1056,gpt
54,78,-1056,gpt
55,15,-1815,gpt
56,57,-1677,gpt
57,63,-1604,gpt
58,54,-1795,gpt
59,19,-1601,gpt
